item_id,product_name,brand_name,category_name,category_product
2.90E+09,[DERMALOGICA] Bộ quà tặng bất ngờ 24 ngày ADVENT CALENDAR( 24-day) cho làn da khỏe mạnh và rạng rỡ tiết kiệm lên đến 44% - Skincare,Dermalogica,skincare,10100738
2.44E+09,Chính hãng 100 GÓI SERUM VI TẢO BIỂN SNOWGRIL DƯỠNG DA THÁI LAN,No Brand,skincare,2283
3.14E+09,Bộ 3 Sản Phẩm Chăm Sóc Da Làm Sáng Tông Màu Da LAIKOU,Laikou,skincare,10100738
1.64E+09,LAIKOU Sakura Extract Face Cream + Face Serum Reduce Wrinkles Fine Lines Anti-aging Brightening Firming Skin Care,Laikou,skincare,10100737
3.23E+09,Calming Hydrating Essence,No Brand,skincare,2283
1.72E+09,[Cam Kết Chính Hãng ] Mỹ Phẩm BACH HOA HONG  100ml,No Brand,skincare,2283
2.82E+09,[Hàng tặng không bán - HB Gift] Tinh chất Serum mờ nám sáng da AHC PRO SHOT GLUTA-CTIVATION BRIGHT 3 10ML,AHC,skincare,2283
2.66E+09,The Ordinary Niacinamide 10% + Zinc 1%,The Ordinary,skincare,2283
2.44E+09,Chính hãng 50 HỘP 6 GÓI SERUM VI TẢO BIỂN SNOWGRIL,No Brand,skincare,2283
3.17E+09,Serum trị mụn Lumos,No Brand,skincare,2283
3.24E+09,Post-Acne Redness Reducing Essence,No Brand,skincare,2283
3.24E+09,Helena Rubinstein Powercell Skinmunity Deep Regenerating Essence 50ml,No Brand,skincare,2283
3.23E+09,"KEM DƯỠNG CẤP ẨM & PHỤC HỒI DA HIỆU QUẢ DR. ALTHEA REJU 5000 (PDRN 5,000PPM) CREAM 20G HÀN QUỐC - 19451 - SẢN PHẨM ĐƯỢC YÊU THÍCH TRÊN THỊ TRƯỜNG HIỆN NAY, DÙNG RẤT TỐT LUÔN Ạ, DÙNG RẤT THÍCH, KHÁCH YÊU TRẢI NGHIỆM ỦNG HỘ",OEM,skincare,2283
3.21E+09,Pozitilan | Anti-Yellow Brightening Tightening Anti-Wrinkle Anti-Oxidant Moisturizing Skincare Set,Pozitilan,skincare,2288
3.25E+09,The Ordinary | The Ordinary Niacinamide 10% + Zinc 1% 30ml (Ad),The Ordinary,skincare,2283
3.06E+09,"Kem Xóa Nhăn GOLD COLLAGEN – GOLD COLLAGEN Hỗ Trợ Giảm Nếp Nhăn, Cải Thiện Độ Săn Chắc, Giúp Da Căng Bóng",OEM,skincare,2283
3.08E+09,Làm trắng vĩnh viễn Kem làm trắng da mặt Kem dưỡng ẩm tối ưu Kem làm mờ vết thâm làm trắng da Serum xóa vết thâm làm sáng da giảm đốm tàn nhang Kem dưỡng da mặt,No Brand,skincare,2283
1.30E+09,KEM FACE TRẰNG HỒNG HM STORE,No Brand,skincare,2283
1.83E+09,Kem dưỡng trắng da - chống nắng Bạch Hoa Hồng 15g - 8936090320051,Bạch hoa hồng,skincare,2283
4.55E+08,Imports-cream pennywort goodndoc Centella Repair Cream moisturizing repair reduction intensive lightening brightening anti aging skin-duocmyphamdran,GoodnDoc,skincare,2283
6.19E+08,[HCM][Hàng chính hãng] Bộ dưỡng tái sinh chống lão hóa Whoo Cheonyuldan Ultimate Regenerating Set 4pcs 68ml,THE WHOO,skincare,2283
3.20E+09,Oxyx Skin Care Essence (1 Tube),No Brand,skincare,2283
3.20E+09,"Vichy Liftactiv Collagen Specialist Day and Night Cream Combo Antioxidant, Anti-Aging & Firming – 10Ml/50Ml",Vichy,skincare,2283
2.74E+09,Bibala Skin Barrier Calming Cream Bibala Soothing and Moisturizing Cream,BIBALA,skincare,2283
1.19E+09,"Lố 24 Hộp Kem Sâm Cô Tiên Thái Lan Trắng Da, Xóa Nám Tàn Nhang",No Brand,skincare,2283
3.22E+09,Qutem Lifting Cream 65ml Jas Blemish Cream 15ml x2 Skincare Cosmetic Products,No Brand,skincare,2283
3.24E+09,Allergan 100 Botox Serum,No Brand,skincare,2283
2.42E+09,"[HÀNG CÔNG TY] Serum LUMA NANO DARK SPOT REMOVER with Gold Nano Serum Làm Sáng Da, Mờ Thâm Nám, Đốm Nâu, Tàn Nhang",No Brand,skincare,2283
3.20E+09,Goodal | Paeonia Peptide Anti-Wrinkle Ampoule 50ml Essence Serum Skincare Product,Goodal,skincare,2283
3.20E+09,OSM | Calm & Brightening Essence 30 Singles,OSM,skincare,2283
3.04E+09,Victory kem dưỡng trắng da ngọc trai 25g,Victory,skincare,2283
8.05E+08,[Chính Hãng] Cao mụn sâm đỏ 36 vị hủ 15g,No Brand,skincare,2283
2.62E+09,"Gel Ezanic 20% Azelaic Acid thâm đỏ, thâm nâu 15g",No Brand,skincare,2283
1.84E+09,"GEL BÔI MỤN EPIDU O 0,1 % / 2,5% GEL 15G",No Brand,skincare,2283
3.22E+09,Danahan Goyul 3-Piece Set: Red Ginseng Hanbang Basic Skincare for Wrinkle Improvement (Functional),No Brand,skincare,2283
1.27E+09,Kem Lá Lược vàng hủ trần chữ đỏ,Lá Lược Vàng,skincare,2283
1.83E+09,KEM SÂM CAO LY 👍❤️ KEM NÁM CAO LY DƯỠNG TRẮNG DA MỜ VẾT NÁM,No Brand,skincare,2283
1.37E+09,Kem Dưỡng Da LƯỜI THƯỢNG HẠNG QUEENIE SKIN Trắng Mịn Sau 1 Tuần( bao bì mới),Queenie Skin,skincare,2283
3.22E+09,"[Sungboon Editor | Green Tomato Pore Lifting Ampoule Plus 30ml+30ml Special Offer,Sungboon Editor | Green Tomato Pore Lifting Ampoule Plus 30ml+30ml Special Offer,]",Sungboon Editor,skincare,2283
2.47E+09,"Dung dịch giảm mụn, nám Bạch Hoa Hồng 100ml (Loại thường)",Bạch hoa hồng,skincare,2283
3.24E+09,Diệp the Bug - Exclusive Deal - La Roche-Posay Cicaplast Baume B5+ Recovery Cream 100ml,La Roche-Posay,skincare,10100737
3.15E+09,Kem Thạch Dưỡng Da sáng bóng Medicube Collagen Jelly Cream 110ml,No Brand,skincare,2283
2.40E+09,[VC 15% tối đa 80K đơn 399K] [Combo] Bộ 2 Kem dưỡng sáng da đa tầng ngày & đêm Pond's Bright Miracle mờ thâm sạm với 50X Niasorcinol 45G+45G,Pond's,skincare,10100737
2.07E+09,Kem Dưỡng Garnier Tinh Chất Serum Sáng Da Ban Ngày 50ml Bright Complete Vitamic C Serum Cream SPF30 Hasaki Sản Phẩm Chính Hãng,Garnier,skincare,2283
3.21E+09,SK-II | Moisturizing & Soothing Essence 230ml,SK-II,skincare,2283
2.74E+08,Kem dưỡng ẩm cân bằng Clinique Dramatically Different Moisturizing - Moisturizer 125ml (Gel - Jelly - Lotion),Clinique,skincare,10100737
2.47E+09,Serum Dưỡng Da Mặt Glamour Peptit 15Ml Dưỡng Ẩm Làm Săn Chắc Nếp Nhăn Và Làm Mịn Da,No Brand,skincare,10100737
1.87E+09,[Buy and Get a Gift] L'Oréal Paris Micellar Water 400ml Hasaki Genuine Product,L'Oréal Paris,skincare,4680
2.65E+09,COMBO 10 Mặt Nạ Trái Cây Dưỡng Da Trắng Sáng Da Cấp Ẩm Căng Bóng Phục Hồi Da Giảm Mụn Mask Giấy Đắp Mặt Vitamin Serum Bơ Dưa Leo Dâu Hoa Hồng Nha Đam Mật Ong Lựu,No Brand,skincare,2291
3.23E+09,"[Remove Acne] Azelaic Acid Fast Acne Removal Cream, Effectively Fades Acne Marks, Reduces Acne Oil Control",No Brand,skincare,2283
3.23E+09,Clarifique Double Essence Refining Enzymatic Dual Essence 250ml,No Brand,skincare,2283
2.18E+09,Rejuran Hàn Quốc Căng Bóng Siêu Trẻ Hoá 2cc/1H (Chính Hãng),No Brand,skincare,2283
2.70E+09,[FreeshipMAX] Serum Trắng Da Mờ Thâm Nám Whitelogist Bright Concentrate Decorte 40ml,No Brand,skincare,2283
3.02E+09,"Set nước sữa Sulwhasoo The Ultimate S 6sp ( mẫu mới) chống lão hóa, phục hồi làn da tươi trẻ",Sulwhasoo,skincare,2283
2.93E+09,"[HÀNG CÔNG TY] Tinh Chất Jalupro Super Hydro Giúp Nâng Cơ Trẻ Hoá Căng Bóng Da, Chống Lão Hoá Trẻ Hoá Làn Da",No Brand,skincare,2283
2.92E+09,"[HÀNG CÔNG TY] Serum Revision DEJ Daily Boosting Serum Chống Lão Hoá, Trẻ Hoá Làn Da, Giúp Da Căng Mịn Săn Chắc 30ml",No Brand,skincare,2283
2.52E+09,Miếng Dán Hỗ Trợ Giảm Mụn Ngày & Đêm 36 miếng Youbuy,No Brand,skincare,2290
2.47E+09,Bộ chăm sóc da VIBRANT GLAMOUR ANNIES với toner/ serum/ kem dưỡng da mặt retinol phục hồi kết cấu da không đồng đều/ mờ,No Brand,skincare,2283
3.01E+09,"(Tách lẻ) Tinh Chất Sẹo Lồi Xẹp Sẹo Giảm Thâm Spa, Mờ Thâm Skincare",Skincare,skincare,2283
3.18E+09,Las Beauty Grape Seaweed Lotion,No Brand,skincare,2283
