shop_name,shop_location,shop_id
null,null,4317
 ABURA,Vietnam,17179869561
 AYI Special Store,China,8589937180
 GD - Hoàng Quyên 247,Vietnam,17179871654
 Gia Dụng Linh Nhii,Vietnam,17179871248
 HUIESON Shopping Mall,China,17179873113
 Li Ning jinye Specialty Store,China,25769806102
 MON BEAUTY SHOP 89,Vietnam,59
 MceHKF Vietnam,China,17179871399
 Mỹ Phẩm LâmThy,Vietnam,8589938916
 Nội Thất House,China,17179873127
 Rose Offical,Vietnam,8589938919
 SENNIO - MỸ PHẨM HÀN QUỐC,Vietnam,2079
 THE IMPORTED COSMETICS .M939,Vietnam,956
 Tafit Pet supplies,China,8589937585
 Thanh Hoa Market,Vietnam,17179871850
 Vention flagship store,China,3849
 Vention flagship store,Vietnam,3928
 Việt mỹ NUTRI ,Vietnam,3778
 WooHop Healthcare,Vietnam,3664
 ÁO THUN DOGA ,Vietnam,25769804762
 Đăng Khô,Vietnam,17179870244
*******452_QbciezJ0,Vietnam,800
- GIÁ RẺ NHẤT -,Vietnam,8589938742
- GIÁ RẺ NHẤT -.Selection,Vietnam,8589938862
08a065e6,China,8589934949
0BIR3aDP,Vietnam,25769806354
0c88613f,China,8589935044
10d77b6c,China,2711
15mins sports,China,25769805975
1f6e1b62,China,25769805524
20 Years old,Vietnam,860
2024 Football shirt,China,25769806333
240028a3,China,3241
247StoreFashion ,Vietnam,25769806296
24CARE,Vietnam,17179869554
27kids-Official,Vietnam,17179873377
2808STORE,Vietnam,25769804434
2K4 _Brand,Vietnam,25769805997
2KJEANS,Vietnam,25769806360
2SHOP STORE,Vietnam,17179869415
2c3677ae,China,3303
2f28cc88,China,8589938194
2fc455b8,China,3288
2thome.store,Vietnam,17179871841
30 Shine Shop,Vietnam,2022
361 Outdoor,Vietnam,17179870797
38869.0,China,25769804229
38aea5cc,China,3333
39 Floor,Vietnam,17179869606
3Hitshop,Vietnam,8589935902
3U5nMK.Selection,Vietnam,3421
3c404445,China,8589936716
3c52a9d3,China,8589935009
41c60125,China,8589936637
464e23f4,China,25769805340
4MEN VN,Vietnam,3776
4t.luna,Vietnam,512
510a917d,China,2710
5169298b,China,8589936226
53 Football jersey,China,25769804490
5335f708,China,3173
5539,Vietnam,17179872442
5539 Store,Vietnam,17179872001
56f7dfaa,China,8589935340
57b972b2,China,8589938232
586513f0,China,8589935339
58908080,China,17179870451
5H1T,Vietnam,25769804501
5a5d7d89,China,8589938075
5cDYtMGG,Vietnam,2650
5wlKKv.Selection,Vietnam,8589937303
6Iq5te.Selection,Vietnam,240
6M6SPH.Selection,Vietnam,4082
6VcjF7c2,Vietnam,8589935107
6b0f5719,China,4010
6e5b1d7b,China,8589935331
6min1,Vietnam,4139
74320faf,China,3339
7B2Nei.Selection,Vietnam,1891
7c69f50f,China,8589935486
7df20c9d,China,17179871010
807Txb21-2.Selection,Vietnam,8589935742
807ce03a,China,8589937633
8HRjBV.Selection,Vietnam,8589937595
8wo0gms8,Vietnam,17179870269
9 House Vietnam,Vietnam,611
9X.Storee,Vietnam,25769805030
A&D-Department,Vietnam,8589938741
A-K fashion,Vietnam,25769806749
A2B Tố,Vietnam,17179869982
ACASIS official store,China,3355
ACB phát,Vietnam,8589938157
ACCU-CHEK Việt Nam,Vietnam,3994
ACE ONE 1620117526,China,17179870979
AChoice-KLS2023,Vietnam,3628
ADG hàng Nhật nội địa,Vietnam,17179870387
ADL.STORE,Vietnam,25769806633
ADT Store3,Vietnam,25769804370
AERBIS,China,8589936418
AFU Aofu Specialty Store,China,63
AGBBG,China,17179870391
AHABUY,Vietnam,17179869641
AHAI STORE,Vietnam,8589937824
AHC,Vietnam,6
AIKATUO,China,25769805499
AISPORTS,Vietnam,8589937082
AK Shop Mỹ Phẩm Chính Hãng,Vietnam,141
AK Shops Mỹ Phẩm Chính Hãng,Vietnam,107
AK cosmetic,Vietnam,396
AKAK Beauty Store,Vietnam,3087
AKIA Store,Vietnam,3996
AKIA Smarthome,Vietnam,8589937786
AKUBA,Vietnam,25769803803
ALGN,China,537
ALICE PERFUME 1997,Vietnam,8589937382
ALL STAR PARTNER,China,25769806738
ALOPHA STORE.Selection,Vietnam,17179869450
ALPHA COFFEE,Vietnam,129
ALizz_Gia Dụng T2h,Vietnam,8589936990
AMAKA.VN,Vietnam,8589937309
AMANTA,Vietnam,8589937187
AMAZFIT BRAND STORE,Vietnam,8589938177
AMBITFUL Online Store,China,3957
AMORTALS Store,Vietnam,3579
AMR_Hồ Chí Minh_4.0,Vietnam,8589937229
AMWEAR VIETNAM,Vietnam,8589937105
AN BÌNH PHARMACY,Vietnam,3549
AN Naturals,Vietnam,17179869607
AN'S STORE(MỸ PHẨM VÀ TIÊU DÙNG CHÍNH HÃNG) ,Vietnam,8589938737
ANABRA91,Vietnam,25769806490
ANGEL PET Pet Supplies,China,8589937785
ANGEL PET selected,China,8589938089
ANGELSKIN STORE,Vietnam,1896
ANHUY SNEAKERS,Vietnam,25769806542
ANN - BOUTIQUE,Vietnam,25769804777
ANN UNIT,Vietnam,1164
ANTA FLAGSHIP STORE,Vietnam,25769804014
ANTA Global,China,25769806821
AOKANG Store,China,17179872971
AOM - Mỹ phẩm Thảo Dược Núi Rừng,Vietnam,191
AONISU,Vietnam,17179871324
AORON OFFICIAL,Vietnam,8589938200
APOD,Vietnam,17179871304
ARISTINO Thời Trang Nam,Vietnam,17179873153
ARISTINO VIET NAM STORE,Vietnam,17179872897
ASRV,China,17179872968
AT Boutique Cute,Vietnam,17179870132
ATC77 SHOP,Vietnam,25769806926
ATECHWORLD STORE,Vietnam,8589937904
ATRASTINO,Vietnam,3659
ATZ LIFE,Vietnam,17179870357
AULA kezhihua Specialty Store,China,3605
AULA-mojing,China,3604
AUTHENTIC TUẤN LÂM,Vietnam,1753
AUTOCAR - TIEUMY,Vietnam,17179870411
AVATTO intelligent  store ,China,8589938018
AWA SOFIC - CHUYÊN SỈ LẺ,Vietnam,358
AYANAMI,China,8589934687
AZMAN,Vietnam,17179872786
AZMAX,Vietnam,8589937238
A_Hoco_Shop,Vietnam,3489
Abbado,China,17179871015
Abbado Mother,China,25769806934
Abies5Star,Japan,8589935155
AcneCeutics Store,Vietnam,538
Actidem  Store,Vietnam,212
Adam1995,Vietnam,17179872848
Aeneas Shop,Vietnam,17179869310
Ah TOP Contact lens,Vietnam,8589937072
Ah TOP Lens,Vietnam,8589935986
Ai Yi Ti Flagship Store,China,25769806371
Aibecy Store,China,17179871106
Air Purification House,Vietnam,3652
Air Wick,Vietnam,8589938513
Aitemay,China,17179869193
Akemi - Akemiuchi,Vietnam,17179870828
Akida Sport,Vietnam,25769804371
Akira Fashion17,Vietnam,17179873138
Alaishy Nhật Việt,Vietnam,109
Alfonse Superior Products,China,25769804105
Alice Tran Store,Vietnam,17179869563
All For Baby 1608716543,Vietnam,17179870262
All tool store,China,3758
Allieuka2,Vietnam,8589937635
Alliwise FlagshipStore,China,4111
Allé 4U,Vietnam,17179869680
Alpha Pharmacy,Vietnam,22
Altaco Store,Vietnam,3877
Always Fashion,Vietnam,8589938544
Amazinging,Vietnam,482
AmericanStyle - Xưởng Quần Áo Giá Sỉ,Vietnam,17179872813
Amzo - Gia Dụng Gia Đình,Vietnam,8589938533
An An Hàng Nhật,Vietnam,8589937900
An Chi Cosmetics,Vietnam,53
An Khang Watch,Vietnam,8589937191
An Khánh Lens,Vietnam,8589936927
An Lộc Phát Incense,Vietnam,17179869445
An Nam Decor,Vietnam,17179870133
An Nhi SHOP1,Vietnam,8589937151
An Nhien.2702,Vietnam,17179869250
An Nhiên - Hàng Nhập Khẩu,Vietnam,17179871630
An Nhiên Cosmetic shop,Vietnam,8589935377
An Nhiên Mall,Vietnam,8589935470
An Nhiên_Decor,Vietnam,17179871274
An Phu Fashion,Vietnam,17179872858
An Phúc Group,Vietnam,17179869285
An Xuân TPCN,Vietnam,8589935489
An toàn bức xạ STEC - X Quang,Vietnam,8589936974
AnAnPetShop,Vietnam,3627
AnB Shop,Vietnam,8589937230
AnBasic,Vietnam,25769806048
AnDat.Shop,Vietnam,17179869650
AnT_cutie_shop,Vietnam,8589938806
Anc Skin Care,Vietnam,2327
Andromeda,Vietnam,17179872973
Anessa Official Store,Vietnam,475
Angel love beauty,China,8589936393
Anglela,Vietnam,17179871591
Angon Beauty,China,8589935214
Anguss,China,25769804474
"Anh Đức GTEX., JSC",Vietnam,4060
Anita Boutique,Vietnam,8589935399
Ann-Car,China,8589938622
AnnBeautyShop,Vietnam,8589935525
Anna Sells,Vietnam,8589935646
Annette Cosmeceuticals - Mỹ Phẩm Chính Hãng ,Vietnam,1112
Anni Anna Shop,Vietnam,52
Annick Superior Products,China,25769806947
Ao thun N A sỉ giá lẻ,Vietnam,25769806431
Aoeo Skincare,China,2352
Applause905,Vietnam,1
AquaStore.vn,Vietnam,3729
Aquazone,Vietnam,3737
Arab electronics store,China,17179872446
Aristino Official,Vietnam,3945
Armedes Việt Nam,Vietnam,17179872957
Aroma France,Vietnam,8589938578
Aroma Sanitary Ware,Vietnam,17179869234
Aroma Story Scented Candles,Vietnam,8589938841
Aromazonevn,Vietnam,17179870037
Arthouseshop,Vietnam,8589937247
Ashaki Đồ gia dụng nhỏ,Vietnam,8589938571
Astalift,Vietnam,2999
AstarShop.Selection,Vietnam,242
Asun Shopping Mall.Selection,Vietnam,143
Au Ju Store,Vietnam,3596
Audio75hn,Vietnam,17179872437
Audiogovap,Vietnam,8589937703
AuraBelle,Vietnam,102
AusaSkin,Vietnam,8589936593
Authentic-Always,Vietnam,2368
Auto SaiGon,Vietnam,17179871499
Auto club,Vietnam,8589938555
AutoMotor Life,China,17179872030
Automatik HomeLiving,Vietnam,3590
Avene,Vietnam,1676
Awei Flagship store,China,8589937620
BACH HOA KIWI,Vietnam,17179870412
BAMI HOME,Vietnam,25769803802
BANAMO,China,17179870267
BANTAO,China,1498
BAOANH6933,Vietnam,17179873025
BAOXIDUO Store ,China,25769806481
BARRIO perfume and personal care,China,17179870522
BARUBT,Vietnam,355
BASEUS SAIGON STORE,Vietnam,3666
BASEUS STORE ONLINE,Vietnam,17179870746
BASIC,Vietnam,25769804006
BASIC ART,Vietnam,8589937742
BB Shop - áo ba lỗ Mỹ ,Vietnam,17179872995
BB Shop Mỹ Phẩm,Vietnam,8589935799
BBIA,Vietnam,8589934823
BBon Beauty,Vietnam,2722
BEAUTIFUL FASHION NEW STYLE,Vietnam,17179872860
BEAUTY HEAVEN II,Vietnam,180
BEIDUOYANG  LOVELY  SHOP,China,17179870152
BEN BEN TPHCM,Vietnam,17179869189
BERNIE KIDS,Vietnam,25769803823
BEST PHỤ KIỆN TPHCM,Vietnam,17179869567
BEST PHỤ KIỆN TPHCM.Selection,Vietnam,17179870249
BEWORTHS,China,3429
BH trade,China,8589936485
BIBALA,Vietnam,23
BIBO WANGZI,China,25769805181
BICHTHUYSHOP(HN),Vietnam,2500
BICHTHUYSHOP-PREMIUM,Vietnam,8589935557
BIG COSMETICS ,Vietnam,2441
BIG XU,Vietnam,8589938637
BIGBIKE.MALL,Vietnam,17179870216
BIGDROP,China,1677
BIGSHARK,China,25769806173
BIGSIZE ĐẬU STYLE,Vietnam,17179873289
BINGO Pharma,Vietnam,8589936422
BINWEE MART,Vietnam,17179869535
BIOHYALUX Skin care,China,1076
BIYU Fashion,Vietnam,17179872869
BL HOME,Vietnam,17179870052
BLUE ELEPHANT VIET NAM,Vietnam,8589935545
BLooKjp,Japan,8589936487
BMPEIC Vietnam,China,8589938771
BNr5K9ip.Selection,Vietnam,8589937222
BO Fhasion,Vietnam,25769806437
BOBOS Kids,China,25769805244
BOCHENG,China,8589938610
