shop_id,item_id,sku_code,sale_price,list_price,discount_percentage,sold_quantity,estimated_revenue,average_rating,total_reviews
1497,2.61E+09,2610982539_VNAMZ,705000,0,0,4,2820000,0,0
1576,4.69E+08,469280761_VNAMZ,339000,400000,15,2304,781056000,4.9,483
2692,2.81E+09,2806432188_VNAMZ,299000,398700,25,204,60996000,5,92
2692,3.07E+09,3068955154_VNAMZ,199000,221200,10,2,398000,5,0
2692,2.97E+09,2974898990_VNAMZ,245000,326700,25,3,735000,0,0
2692,2.66E+09,2662088297_VNAMZ,269000,316500,15,81,21789000,4.8,126
2692,2.85E+09,2847242853_VNAMZ,179900,199900,10,23,4137700,5,11
2692,2.98E+09,2975003351_VNAMZ,243000,324000,25,13,3159000,5,1
2692,1.82E+09,1823554233_VNAMZ,174000,232000,25,24,4176000,5,33
2692,2.69E+09,2694820509_VNAMZ,319000,354500,10,0,0,0,0
2692,1.35E+09,1354959189_VNAMZ,199000,221200,10,63,12537000,5,68
2692,3.23E+09,3231528232_VNAMZ,229000,254500,10,0,0,0,0
2692,2.81E+09,2806406052_VNAMZ,419000,558700,25,20,8380000,5,7
2692,2.68E+09,2678969769_VNAMZ,356000,0,0,1,356000,0,0
2692,2.68E+09,2678229702_VNAMZ,409000,454500,10,1,409000,5,2
3584,2.62E+09,2624612348_VNAMZ,25500,30500,16,309,7879500,4.6,41
3687,1.63E+09,1628659001_VNAMZ,380000,0,0,89,33820000,4.9,26
3584,2.11E+09,2112450303_VNAMZ,120000,125000,4,675,81000000,4.9,169
3584,2.17E+09,2165522155_VNAMZ,68666,129000,47,367,25200422,5,75
3584,2.27E+09,2271233189_VNAMZ,115791,145000,20,1105,127949055,4.9,345
2692,2.98E+09,2977359879_VNAMZ,257000,342700,25,580,149060000,4.9,143
4328,2.64E+09,2640724399_VNAMZ,269000,295000,9,5,1345000,0,0
1074,2.67E+09,2669345766_VNAMZ,800000,0,0,119,95200000,4.8,37
1210,2.47E+09,2468359832_VNAMZ,105000,0,0,136,14280000,4.8,27
3483,2.56E+09,2558907517_VNAMZ,415000,650000,36,91,37765000,5,15
3502,2.44E+09,2440633455_VNAMZ,55000,65000,15,145,7975000,5,34
3483,2.43E+09,2433794448_VNAMZ,485000,699000,31,273,132405000,4.9,66
3682,7.84E+08,783690843_VNAMZ,989000,1325000,25,353,349117000,5,91
3483,1.87E+09,1871334106_VNAMZ,429000,580000,26,95,40755000,4.7,24
4145,1.48E+09,1478374816_VNAMZ,24900,30000,17,1806,44969400,5,296
329,2.10E+09,2099847118_VNAMZ,145000,198000,27,1201,174145000,4.9,389
1076,3.22E+09,3216458237_VNAMZ,348000,1201000,71,1,348000,4.9,14
1076,3.22E+09,3216277909_VNAMZ,374000,1115000,66,1,374000,4.9,16
1076,3.22E+09,3217541058_VNAMZ,50000,265000,81,2,100000,4.9,220
1076,3.22E+09,3217595629_VNAMZ,104000,275000,62,1,104000,4.9,210
1076,3.22E+09,3217738449_VNAMZ,547000,1661000,67,0,0,4.9,52
1076,3.22E+09,3217664647_VNAMZ,751000,2632000,71,0,0,4.9,32
1076,3.22E+09,3216313875_VNAMZ,100000,259000,61,0,0,4.9,30
1076,3.22E+09,3216924259_VNAMZ,3211000,10265000,69,0,0,4.9,141
1076,3.23E+09,3225467896_VNAMZ,1198000,1722000,30,0,0,4.9,78
2460,1.98E+09,1978251611_VNAMZ,850000,0,0,0,0,0,0
1076,3.22E+09,3219764807_VNAMZ,2069000,3184000,35,0,0,4.9,24
1076,3.22E+09,3219627448_VNAMZ,1121000,1790000,37,0,0,4.9,52
1076,3.23E+09,3227673528_VNAMZ,2154000,3424000,37,0,0,4.9,280
2608,3.21E+09,3214746299_VNAMZ,2652000,0,0,0,0,4.6,19
1076,3.22E+09,3216333544_VNAMZ,862000,1971000,56,0,0,4,2
1076,3.23E+09,3225664869_VNAMZ,1899000,2756000,31,0,0,4.9,134
1076,3.23E+09,3227358584_VNAMZ,1928000,3002000,36,0,0,4.9,279
1076,3.22E+09,3220114630_VNAMZ,1080000,1980000,45,0,0,0,0
2608,3.22E+09,3219784187_VNAMZ,939000,0,0,0,0,0,0
1076,3.22E+09,3216373045_VNAMZ,1893000,0,0,0,0,4.9,33
3102,3.08E+09,3075593720_VNAMZ,393597,699000,44,3,1180791,0,0
3739,1.45E+09,1447227710_VNAMZ,59000,98000,40,2919,172221000,4.9,537
3853,2.80E+09,2803637325_VNAMZ,320000,396000,19,8,2560000,5,1
3739,1.44E+09,1439758552_VNAMZ,23800,35000,32,13267,315754600,4.9,2070
134,3.04E+09,3042187729_VNAMZ,48000,69000,30,17,816000,5,8
962,3.10E+09,3101768643_VNAMZ,159000,191000,17,6852,1089468000,5,509
1574,1.67E+09,1674895805_VNAMZ,490000,650000,25,2,980000,0,0
1613,3.23E+09,3230098917_VNAMZ,381000,700000,46,0,0,0,0
962,3.10E+09,3101861320_VNAMZ,159000,191000,17,7263,1154817000,5,468
962,3.10E+09,3101870125_VNAMZ,137000,171000,20,6036,826932000,5,526
2168,1.32E+09,1315565998_VNAMZ,351000,390000,10,363,127413000,5,173
2205,2.77E+09,2774266088_VNAMZ,1249900,0,0,1,1249900,0,0
2168,1.33E+09,1325154463_VNAMZ,324000,360000,10,35,11340000,4.7,21
1613,3.24E+09,3237981236_VNAMZ,663000,1200000,45,0,0,0,0
2205,2.86E+09,2859679825_VNAMZ,1099900,0,0,0,0,0,0
2168,1.40E+09,1397054110_VNAMZ,271800,302000,10,130,35334000,5,49
2168,1.72E+09,1718808422_VNAMZ,899100,999000,10,2,1798200,0,0
3135,3.06E+09,3064834109_VNAMZ,125038,250076,50,3,375114,0,0
4121,2.11E+09,2110640754_VNAMZ,165000,249000,34,122,20130000,5,29
4269,2.16E+09,2163380967_VNAMZ,34000,40000,15,2898,98532000,5,212
41,3.15E+09,3152575645_VNAMZ,365720,572000,36,48,17554560,5,5
381,3.11E+09,3113789516_VNAMZ,125000,199000,37,51,6375000,4.9,9
1175,2.38E+09,2375563110_VNAMZ,425000,0,0,5,2125000,5,1
381,3.11E+09,3113023349_VNAMZ,78000,109000,28,301,23478000,5,53
2503,3.02E+09,3021816515_VNAMZ,82000,84000,2,36,2952000,5,9
2503,2.59E+09,2589763396_VNAMZ,758000,842000,10,38,28804000,5,10
3070,2.97E+09,2972897830_VNAMZ,14000,28000,50,0,0,0,0
3072,3.16E+09,3163691018_VNAMZ,1000000,0,0,5,5000000,5,2
3457,3.17E+09,3169739400_VNAMZ,198000,0,0,0,0,0,0
3694,2.81E+08,281070023_VNAMZ,50000,0,0,675,33750000,4.8,147
3941,3.01E+09,3012777449_VNAMZ,199000,299000,33,290,57710000,4.9,74
3966,2.41E+09,2407669746_VNAMZ,200000,0,0,61,12200000,4.7,18
554,3.21E+09,3206617619_VNAMZ,373000,4293000,91,0,0,4.9,45
566,1.96E+09,1955029801_VNAMZ,29000,0,0,1194,34626000,4.9,116
554,3.22E+09,3224340457_VNAMZ,4137000,4275000,3,0,0,5,20
554,3.21E+09,3207534673_VNAMZ,424000,4298000,90,0,0,4.7,27
1294,2.92E+09,2918668831_VNAMZ,20000,25000,20,17,340000,5,12
1456,1.61E+09,1608278626_VNAMZ,223100,446200,50,25,5577500,5,2
554,3.25E+09,3248149956_VNAMZ,632000,4287000,85,0,0,4.9,11
554,3.21E+09,3214311987_VNAMZ,793000,4301000,82,0,0,4.8,25
554,3.21E+09,3213245524_VNAMZ,1863000,4294000,56,0,0,4.9,197
2017,3.20E+09,3197260910_VNAMZ,714000,0,0,0,0,0,0
554,3.21E+09,3214313094_VNAMZ,1040000,4288000,76,0,0,4.9,37
1456,4.53E+08,452792537_VNAMZ,75250,150500,50,3662,275565500,4.8,700
554,3.21E+09,3208943704_VNAMZ,1037000,2580000,60,0,0,4.9,208
554,3.21E+09,3212788008_VNAMZ,783000,2148000,64,0,0,4.7,12
